interval,large,small,target
2025-06-28 07:00:00,59,246,89.67602040816327
2025-06-28 07:05:00,71,277,81.619804400978
2025-06-28 07:10:00,62,314,84.33051869722557
2025-06-28 07:15:00,53,287,83.73981900452489
2025-06-28 07:20:00,73,328,80.88732394366197
2025-06-28 07:25:00,49,322,83.63793103448276
2025-06-28 07:30:00,52,320,87.35686777920411
2025-06-28 07:35:00,46,309,83.85365853658537
2025-06-28 07:40:00,58,314,82.69117647058823
2025-06-28 07:45:00,64,339,81.04562268803946
2025-06-28 07:50:00,66,358,70.95035460992908
2025-06-28 07:55:00,69,328,68.62815884476534
2025-06-28 08:00:00,50,353,69.18481012658228
2025-06-28 08:05:00,57,346,70.7981220657277
2025-06-28 08:10:00,66,318,68.42805320435308
2025-06-28 08:15:00,49,338,61.00485436893204
2025-06-28 08:20:00,63,407,49.3663500678426
2025-06-28 08:25:00,72,476,41.8013698630137
2025-06-28 08:30:00,77,517,36.21090387374462
2025-06-28 08:35:00,88,678,36.1952580195258
2025-06-28 08:40:00,124,680,33.41860465116279
2025-06-28 08:45:00,97,541,33.62193548387097
2025-06-28 08:50:00,103,735,33.38141470180305
2025-06-29 07:00:00,22,179,99.6923076923077
2025-06-29 07:05:00,25,169,99.25159914712154
2025-06-29 07:10:00,36,187,100.6076233183856
2025-06-29 07:15:00,23,172,99.8644859813084
2025-06-29 07:20:00,23,166,97.87174348697395
2025-06-29 07:25:00,31,182,98.29942418426104
2025-06-29 07:30:00,32,199,102.110824742268
2025-06-29 07:35:00,16,175,101.2535211267606
2025-06-29 07:40:00,27,190,100.52
2025-06-29 07:45:00,38,229,96.65676567656766
2025-06-29 07:50:00,41,213,98.60296846011131
2025-06-29 07:55:00,35,207,99.3529411764706
2025-06-29 08:00:00,32,185,98.10505836575877
2025-06-29 08:05:00,25,203,99.09146341463416
2025-06-29 08:10:00,30,229,99.71506352087114
2025-06-29 08:15:00,24,225,97.23021582733811
2025-06-29 08:20:00,31,198,97.4981343283582
2025-06-29 08:25:00,28,202,95.36555360281196
2025-06-29 08:30:00,37,267,96.493848857645
2025-06-29 08:35:00,31,216,97.11702127659576
2025-06-29 08:40:00,41,242,96.74747474747475
2025-06-29 08:45:00,25,280,95.13513513513512
2025-06-29 08:50:00,22,293,97.92307692307692
2025-07-01 07:00:00,88,443,91.7163120567376
2025-07-01 07:05:00,73,430,86.69949066213923
2025-07-01 07:10:00,91,430,83.98113207547169
2025-07-01 07:15:00,76,487,76.62010221465077
2025-07-01 07:20:00,77,424,85.16606498194946
2025-07-01 07:25:00,49,378,82.18504672897197
2025-07-01 07:30:00,45,460,86.59266055045872
2025-07-01 07:35:00,55,420,89.04520795660036
2025-07-01 07:40:00,51,438,87.7311411992263
2025-07-01 07:45:00,55,421,86.96363636363637
2025-07-01 07:50:00,68,468,85.60115606936417
2025-07-01 07:55:00,63,393,86.5043630017452
2025-07-01 08:00:00,73,367,85.97802197802197
2025-07-01 08:05:00,78,405,84.90651085141903
2025-07-01 08:10:00,72,356,85.76744186046511
2025-07-01 08:15:00,62,330,88.83501683501683
2025-07-01 08:20:00,65,330,89.65841584158416
2025-07-01 08:25:00,54,332,92.1455223880597
2025-07-01 08:30:00,56,291,87.60686427457098
2025-07-01 08:35:00,77,324,85.69604863221885
2025-07-01 08:40:00,85,339,86.27018633540372
2025-07-01 08:45:00,83,331,89.47350993377484
2025-07-01 08:50:00,69,277,86.68258426966293
2025-07-03 07:00:00,59,348,88.97287522603979
2025-07-03 07:05:00,62,378,87.8961937716263
2025-07-03 07:10:00,71,463,87.30268199233717
2025-07-03 07:15:00,67,355,88.41197822141561
2025-07-03 07:20:00,53,345,87.93491124260355
2025-07-03 07:25:00,45,373,78.77777777777777
2025-07-03 07:30:00,48,346,87.79497098646034
2025-07-03 07:35:00,42,334,90.86070686070686
2025-07-03 07:40:00,45,287,93.0352422907489
2025-07-03 07:45:00,40,310,84.78527607361963
2025-07-03 07:50:00,56,311,86.66732673267327
2025-07-03 07:55:00,52,304,86.08333333333333
2025-07-03 08:00:00,55,352,78.7126050420168
2025-07-03 08:05:00,74,285,81.87628865979381
2025-07-03 08:10:00,53,341,89.33106960950764
2025-07-03 08:15:00,74,334,89.73519163763066
2025-07-03 08:20:00,63,317,87.49655172413793
2025-07-03 08:25:00,66,345,86.6368
2025-07-03 08:30:00,64,330,86.02568218298555
2025-07-03 08:35:00,82,355,81.73581847649919
2025-07-03 08:40:00,84,322,86.6295731707317
2025-07-03 08:45:00,89,330,87.07716049382717
2025-07-03 08:50:00,58,367,88.45691056910569
2025-07-05 07:00:00,35,208,91.25401069518716
2025-07-05 07:05:00,49,279,86.27216748768473
2025-07-05 07:10:00,52,239,89.76578645235362
2025-07-05 07:15:00,69,246,87.45828571428571
2025-07-05 07:20:00,47,253,94.00269179004036
2025-07-05 07:25:00,53,234,90.31339401820546
2025-07-05 07:30:00,58,248,87.9185360094451
2025-07-05 07:35:00,55,253,89.08675263774911
2025-07-05 07:40:00,74,225,86.22029702970298
2025-07-05 07:45:00,54,245,93.09530583214794
2025-07-05 07:50:00,52,189,93.4536652835408
2025-07-05 07:55:00,53,241,89.85960591133005
2025-07-05 08:00:00,46,239,87.20451843043995
2025-07-05 08:05:00,53,281,84.97280593325092
2025-07-05 08:10:00,82,309,82.66898954703832
2025-07-05 08:15:00,57,330,78.80254041570439
2025-07-05 08:20:00,65,327,80.34326579261025
2025-07-05 08:25:00,81,329,80.96162528216705
2025-07-05 08:30:00,65,338,82.50502512562814
2025-07-05 08:35:00,49,293,81.79667063020214
2025-07-05 08:40:00,46,300,79.54830917874396
2025-07-05 08:45:00,43,279,79.316091954023
2025-07-05 08:50:00,53,293,72.37827715355806
2025-07-06 07:00:00,18,113,101.9498207885305
2025-07-06 07:05:00,23,143,101.7869822485207
2025-07-06 07:10:00,24,121,102.2607260726073
2025-07-06 07:15:00,27,140,100.1648936170213
2025-07-06 07:20:00,24,133,101.2542372881356
2025-07-06 07:25:00,23,134,100.7594936708861
2025-07-06 07:30:00,15,124,101.4831460674157
2025-07-06 07:35:00,17,168,100.044776119403
2025-07-06 07:40:00,14,131,103.1958041958042
2025-07-06 07:45:00,27,147,98.6976127320955
2025-07-06 07:50:00,22,149,101.4307228915663
2025-07-06 07:55:00,23,133,101.2754010695187
2025-07-06 08:00:00,23,128,102.4430769230769
2025-07-06 08:05:00,24,147,101.0565110565111
2025-07-06 08:10:00,27,155,100.1085858585859
2025-07-06 08:15:00,35,185,100.8129675810474
2025-07-06 08:20:00,27,170,100.6176470588235
2025-07-06 08:25:00,27,204,101.6164383561644
2025-07-06 08:30:00,18,181,100.8172323759791
2025-07-06 08:35:00,30,170,101.8496240601504
2025-07-06 08:40:00,33,172,99.26681127982648
2025-07-06 08:45:00,20,156,101.8869565217391
2025-07-06 08:50:00,25,135,101.4444444444444
